Study,analysis_id,Analysis.name,clinical_window,pet_week,amyloid_change_cl,amyloid_source,mapping_note,pairing_status,instrument_status,source_locator,source_review_status
CLARITY AD 2023,4.5,Symptomatic ARIA E at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.5,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,4.6,Symptomatic ARIA E above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 4.6,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,4.6,Symptomatic ARIA E above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 4.6,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,4.7,Any ARIA H at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.7,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,4.7,Any ARIA H at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.7,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,4.7,Any ARIA H at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 4.7,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,4.8,Any ARIA H at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 4.8,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,4.8,Any ARIA H at 24 months,24 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 4.8,Single-reviewer audit; independent extraction verification pending
ENVISION,4.8,Any ARIA H at 24 months,24 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 4.8,Single-reviewer audit; independent extraction verification pending
CREAD 2022,4.8,Any ARIA H at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 4.8,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,4.9,Any ARIA H above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 4.9,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,4.9,Any ARIA H above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 4.9,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,4.10,Symptomatic ARIA H at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.10,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,5.1,SAE at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 5.1,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,5.1,SAE at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 5.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-301 2014,5.1,SAE at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 5.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-302 2014,5.1,SAE at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 5.1,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,5.1,SAE at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 5.1,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,5.1,SAE at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 5.1,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,5.1,SAE at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 5.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,5.1,SAE at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 5.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,5.1,SAE at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 5.1,Single-reviewer audit; independent extraction verification pending
ENVISION,5.2,SAE at 24 months,24 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 5.2,Single-reviewer audit; independent extraction verification pending
CREAD 2022,5.2,SAE at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 5.2,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,5.2,SAE at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 5.2,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,5.2,SAE at 24 months,24 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 5.2,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,5.3,SAE above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 5.3,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,5.3,SAE above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 5.3,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-301 2014,6.1,Mortality at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 6.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-302 2014,6.1,Mortality at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 6.1,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,6.1,Mortality at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 6.1,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,6.1,Mortality at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 6.1,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,6.1,Mortality at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 6.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,6.1,Mortality at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 6.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,6.1,Mortality at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 6.1,Single-reviewer audit; independent extraction verification pending
ENVISION,6.2,Mortality at 24 months,24 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 6.2,Single-reviewer audit; independent extraction verification pending
CREAD 2022,6.2,Mortality at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 6.2,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,6.2,Mortality at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 6.2,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,6.2,Mortality at 24 months,24 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 6.2,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,6.3,Mortality above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 6.3,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,6.3,Mortality above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 6.3,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,7.1,NPI-Q score at 12 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 7.1,Single-reviewer audit; independent extraction verification pending
ENVISION,7.2,NPI-Q score at 18 months,18 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 7.2,Single-reviewer audit; independent extraction verification pending
CREAD 2022,7.2,NPI-Q score at 18 months,18 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 7.2,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,8.1,Infusion reaction at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 8.1,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,8.1,Infusion reaction at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 8.1,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,8.1,Infusion reaction at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 8.1,Single-reviewer audit; independent extraction verification pending
CREAD 2022,8.2,Infusion reaction at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 8.2,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,9.1,Study discontinuation at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 9.1,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,9.1,Study discontinuation at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 9.1,Single-reviewer audit; independent extraction verification pending
3000 Non Carriers 2016,9.1,Study discontinuation at 18 months,18 months,NA,6.52,Imbimbo 2024 Table 1,Highest-dose bapineuzumab arm,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3000 Non Carriers 2016 | 9.1,Single-reviewer audit; independent extraction verification pending
3001 Carriers 2016,9.1,Study discontinuation at 18 months,18 months,NA,-9.6,Imbimbo 2024 Table 1,Bapineuzumab 0.5 mg/kg arm,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3001 Carriers 2016 | 9.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-301 2014,9.1,Study discontinuation at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 9.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-302 2014,9.1,Study discontinuation at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 9.1,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,9.1,Study discontinuation at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 9.1,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,9.1,Study discontinuation at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 9.1,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,9.1,Study discontinuation at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 9.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,9.1,Study discontinuation at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 9.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,9.1,Study discontinuation at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 9.1,Single-reviewer audit; independent extraction verification pending
CREAD 2022,9.2,Study discontinuation at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 9.2,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,9.2,Study discontinuation at 24 months,24 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 9.2,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,9.3,Study discontinuation above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 9.3,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,9.3,Study discontinuation above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 9.3,Single-reviewer audit; independent extraction verification pending
